Price,Posting_date,Location,Mileage,Reg_year,Make,Model,Energy,Horse_power,Color,Body,Condition,Transmission,Engine_size
0,6 février 2021,"Monastir, Monastir",14225,2011,Volkswagen,Golf 6,Essence,9,Bleu,Berline,Nouveau,Manuelle,1.6
160000,6 février 2021,"Tunis, Autres villes",220,2006,Volkswagen,Polo,Essence,5,,,,,
0,6 février 2021,"Tunis, Autres villes",260,2008,Volkswagen,Passat,Diesel,6,Noir,Berline,Nouveau,Manuelle,1.9
0,6 février 2021,"Tunis, Autres villes",138000,2013,Volkswagen,Polo,Essence,5,Blanc,Compacte,Avec kilométrage,Manuelle,1.2
52000,6 février 2021,"Monastir, Ksibet el-Médiouni",180000,2014,Volkswagen,Passat,Diesel,5,Multicolore,Berline,Nouveau,Manuelle,1.6
63000,6 février 2021,"Tunis, Autres villes",98000,2015,Volkswagen,Golf 7,Essence,5,,,,,
0,6 février 2021,"Monastir, Autres villes",175,2012,Volkswagen,Passat,Essence,9,,,,,
0,6 février 2021,"Tunis, La Marsa",52000,2015,Volkswagen,Golf,Essence,5,Blanc,Berline,Avec kilométrage,Manuelle,1.2
0,6 février 2021,"Tunis, Autres villes",3519,2000,Volkswagen,Polo,Essence,4444,Gris,Autres,Avec kilométrage,Manuelle,>4.0
0,6 février 2021,"Médenine, Médenine Sud",106000,2010,Volkswagen,Passat,Essence,9,Blanc,Autres,Avec kilométrage,Automatique,1.8
25000,6 février 2021,"Tunis, Autres villes",227000,2005,Volkswagen,Golf 5,Diesel,5,Bleu,Compacte,Avec kilométrage,Manuelle,1.9
0,6 février 2021,"La manouba, Autres villes",225500,2002,Volkswagen,Passat,Diesel,7,,,,,
35000000,6 février 2021,"Ben arous, Fouchana",245,2012,Volkswagen,Golf 6,Diesel,6,Noir,Berline,Avec kilométrage,Manuelle,1.6
29000,6 février 2021,"Tataouine, Tataouine",273000,2008,Volkswagen,Passat,Essence,7,,,,,
65,6 février 2021,"Ariana, Ariana Ville",148000,2016,Volkswagen,Passat,Essence,7,Noir,Berline,Avec kilométrage,Manuelle,>4.0
26200,6 février 2021,"Tunis, Autres villes",130,2013,Volkswagen,Polo,Essence,5,,,,,
26000,6 février 2021,"Ben arous, Autres villes",250000,2003,Volkswagen,Golf 5,Essence,5,Noir,Compacte,Avec kilométrage,Manuelle,1.4
0,6 février 2021,"Tunis, L'aouina",200,2009,Volkswagen,Polo,Essence,4,Gris,Compacte,Avec kilométrage,Manuelle,1.2
20,6 février 2021,"Tunis, Autres villes",150000,2006,Volkswagen,Polo,Essence,5,Gris,Autres,Nouveau,Manuelle,1.2
0,6 février 2021,"Tozeur, Autres villes",111111111,98,Volkswagen,Transporter,Diesel,10,,,,,
21800,6 février 2021,"Ben arous, Boumhel",200000,2008,Volkswagen,Polo,Essence,5,Gris,Compacte,Avec kilométrage,Manuelle,1.2
12000,6 février 2021,"Tunis, Autres villes",1289887,2000,Volkswagen,Polo,Essence,5,Gris,Berline,Avec kilométrage,Manuelle,<1.0
1600,6 février 2021,"Ben arous, Mohamedia",200,2001,Volkswagen,Passat,Diesel,6,Gris,Compacte,Avec kilométrage,Manuelle,1.9
0,6 février 2021,"Nabeul, Autres villes",145,2011,Volkswagen,Golf 6,Diesel,5,,,,,
0,6 février 2021,"La manouba, Denden",255,2000,Volkswagen,Polo,Essence,4,Gris,Autres,Avec kilométrage,Manuelle,<1.0
0,6 février 2021,"Bizerte, Autres villes",0,2005,Volkswagen,Polo,Essence,4,,,,,
39500,6 février 2021,"Nabeul, Korba",230000,2009,Volkswagen,Passat,Diesel,6,Gris,Berline,Avec kilométrage,Manuelle,2
14600,6 février 2021,"Mahdia, Autres villes",240000,2008,Volkswagen,Caddy,Diesel,8,,,,,
0,6 février 2021,"Sfax, Autres villes",152,2007,Volkswagen,Polo,Essence,4,Gris,Autres,Nouveau,Manuelle,1.2
15500,6 février 2021,"Tunis, Autres villes",214,2005,Volkswagen,Polo,Essence,4,Noir,Berline,Avec kilométrage,Manuelle,1.2
35000,6 février 2021,"Sousse, Hammam Sousse",280,2006,Volkswagen,Touareg,Diesel,12,Noir,4 x 4,Avec kilométrage,Manuelle,2.5
0,6 février 2021,"Sfax, Autres villes",142,2012,Volkswagen,Golf 6,Essence,5,Noir,Compacte,Nouveau,Manuelle,1.4
0,6 février 2021,"Béja, Autres villes",100000,2016,Volkswagen,Golf 7,Essence,5,Noir,Berline,Nouveau,Manuelle,1.2
0,6 février 2021,"Monastir, Monastir",158000,2009,Volkswagen,Passat,Diesel,6,Noir,Berline,Avec kilométrage,Manuelle,1.9
13200,6 février 2021,"Tunis, Hraïria",220,2005,Volkswagen,Polo,Essence,4,,,,,
49000,6 février 2021,"Ben arous, Autres villes",192000,2011,Volkswagen,Passat,Diesel,5,,,,,
12300,6 février 2021,"Tunis, Autres villes",317,1997,Volkswagen,Polo,Diesel,6,Vert,Compacte,Nouveau,Manuelle,1.9
3300,6 février 2021,"Ben arous, Hammam Lif",9,1982,Volkswagen,Golf,Essence,4,Bleu,Autres,Avec kilométrage,Manuelle,>4.0
35,6 février 2021,"Monastir, Autres villes",200,2011,Volkswagen,Golf 6,Essence,5,Gris,Autres,Avec kilométrage,Manuelle,1.4
0,6 février 2021,"Bizerte, Autres villes",270,2004,Volkswagen,Polo,Essence,5,,,,,
25,6 février 2021,"Sfax, Sfax Ville",225000,2009,Volkswagen,Passat,Diesel,2,Noir,Berline,Nouveau,Manuelle,2
0,6 février 2021,"Ben arous, Autres villes",2147483647,999999999,Volkswagen,Caddy,Diesel,999999,,,,,
59000,6 février 2021,"Tozeur, Autres villes",168000,2013,Volkswagen,Amarok,Diesel,7,Gris,Pick up,Avec kilométrage,Manuelle,2
17000,6 février 2021,"Tunis, Autres villes",160000,2009,Volkswagen,Transporter,Diesel,5,,,,,
0,6 février 2021,"Ben arous, Autres villes",172000,2011,Volkswagen,Golf 6,Diesel,5,Gris,Compacte,Nouveau,Manuelle,1.6
53800,6 février 2021,"Tunis, Autres villes",180000,2011,Volkswagen,Tiguan,Diesel,9,Noir,4 x 4,Avec kilométrage,Automatique,2
0,6 février 2021,"Ariana, Autres villes",170,2014,Volkswagen,Polo,Essence,5,Gris,Compacte,Avec kilométrage,Manuelle,1.2
15000,6 février 2021,"Tunis, Autres villes",50000,2005,Volkswagen,Transporter,Diesel,7,Blanc,Berline,Avec kilométrage,Manuelle,1.9
0,6 février 2021,"Bizerte, Mateur",200000,1987,Volkswagen,Golf 2,Diesel,6,Autre,Autres,Avec kilométrage,Manuelle,>4.0
0,6 février 2021,"Tunis, Autres villes",231000,2013,Volkswagen,Amarok,Diesel,7,Gris,4 x 4,Avec kilométrage,Manuelle,2
0,6 février 2021,"Mahdia, El Jem",48,2015,Volkswagen,Golf 7,Essence,5,Blanc,Compacte,Nouveau,Manuelle,1.2
0,6 février 2021,"Mahdia, El Jem",230,2014,Volkswagen,Caddy,Diesel,6,Blanc,Utilitaire,Avec kilométrage,Manuelle,1.6
17500,6 février 2021,"Sfax, Sfax Ville",152000,2002,Volkswagen,Polo,Essence,4,Noir,Compacte,Avec kilométrage,Manuelle,1.2
1,6 février 2021,"Gabès, Autres villes",200,2007,Volkswagen,Golf 5,Essence,5,Noir,Utilitaire,Avec kilométrage,Manuelle,1.4
0,6 février 2021,"Sfax, Autres villes",148,2008,Volkswagen,Polo,Essence,4,Noir,Berline,Avec kilométrage,Manuelle,1.2
40000,6 février 2021,"Zaghouan, Autres villes",152,2011,Volkswagen,Golf 6,Essence,5,,,,,
0,6 février 2021,"Ariana, Autres villes",178000,2014,Volkswagen,Polo,Essence,5,Marron,Berline,Nouveau,Manuelle,1.2
35200,6 février 2021,"Sfax, Autres villes",142000,2011,Volkswagen,Golf 6,Essence,5,Noir,Berline,Nouveau,Manuelle,1.4
26500,6 février 2021,"Ben arous, Autres villes",200,2004,Volkswagen,Golf 5,Essence,5,Noir,Compacte,Avec kilométrage,Manuelle,1.4
31500,6 février 2021,"Ben arous, Autres villes",222000,2008,Volkswagen,Jetta,Essence,7,Gris,Utilitaire,Avec kilométrage,Manuelle,1.6
14000,6 février 2021,"Kairouan, Autres villes",200,2006,Volkswagen,Bora,Diesel,6,,,,,
30000,6 février 2021,"Tunis, Autres villes",200,2010,Volkswagen,Passat,Diesel,5,,,,,
0,6 février 2021,"Ariana, La Soukra",107000,2016,Volkswagen,Caddy,Diesel,6,Gris,Utilitaire,Avec kilométrage,Manuelle,1.6
30,6 février 2021,"Tunis, Autres villes",132,2010,Volkswagen,Scirocco,Essence,9,Blanc,Autres,Avec kilométrage,Automatique,1.4
17000,6 février 2021,"Monastir, Autres villes",290,2003,Volkswagen,Polo,Essence,2003,,,,,
0,6 février 2021,"Nabeul, Nabeul",153,2015,Volkswagen,Golf 7,Diesel,5,,,,,
31500,6 février 2021,"Ariana, Autres villes",92000,2017,Volkswagen,Polo,Essence,4,Noir,Berline,Nouveau,Manuelle,<1.0
50000,6 février 2021,"Bizerte, Utique",150,2011,Volkswagen,Passat,Diesel,5,Noir,Autres,Avec kilométrage,Manuelle,1.6
0,6 février 2021,"Tunis, Autres villes",260,2006,Volkswagen,Golf 5,Essence,14,Bleu,Autres,Avec kilométrage,Manuelle,1.4
11500,6 février 2021,"Ben arous, Autres villes",0,1999,Volkswagen,Polo,Essence,5,Noir,Utilitaire,Avec kilométrage,Manuelle,<1.0
1,6 février 2021,"Siliana, El Krib",200,2008,Volkswagen,Polo,Essence,5,Gris,Berline,Nouveau,Manuelle,1.2
0,6 février 2021,"Sfax, Sfax",149000,2011,Volkswagen,Golf 6,Essence,6,Blanc,Berline,Avec kilométrage,Manuelle,1.2
0,6 février 2021,"Sfax, Sfax",104000,2011,Volkswagen,Golf 6,Essence,5,Bleu,Berline,Avec kilométrage,Manuelle,1.2
18,6 février 2021,"Tunis, L'aouina",210,2007,Volkswagen,Polo,Essence,4,Gris,Autres,Avec kilométrage,Manuelle,3
0,6 février 2021,"Sfax, Sfax",140000,2013,Volkswagen,Caddy,Diesel,6,Gris,Monospace,Avec kilométrage,Manuelle,1.6
17200,6 février 2021,"Ben arous, Autres villes",250,2009,Volkswagen,Caddy,Diesel,8,Blanc,Pick up,Avec kilométrage,Manuelle,1.9
33000,6 février 2021,"Tunis, Autres villes",201500,2010,Volkswagen,Jetta,Diesel,6,,,,,
55888,6 février 2021,"Ben arous, El Mourouj",437000,2008,Volkswagen,Polo,Diesel,4,Blanc,Berline,Avec kilométrage,Manuelle,1.4
49000,6 février 2021,"Tunis, Menzah",64722,2013,Volkswagen,Golf 7,Essence,5,Gris,Berline,Avec kilométrage,Manuelle,1.2
0,6 février 2021,"Gabès, Autres villes",198,2011,Volkswagen,Golf 6,Essence,7,Gris,Compacte,Nouveau,Manuelle,1.2
0,6 février 2021,"Sousse, Sousse Jawhara",62000,2015,Volkswagen,Golf 7,Essence,5,Noir,Berline,Avec kilométrage,Manuelle,1.2
15500,6 février 2021,"Médenine, Autres villes",221000,2002,Volkswagen,Polo,Essence,4,,,,,
29,6 février 2021,"Tunis, Autres villes",350,2016,Volkswagen,Polo,Diesel,1,,,,,
27000,6 février 2021,"Sousse, Autres villes",194000,2010,Volkswagen,Golf 6,Essence,9,Gris,Berline,Avec kilométrage,Automatique,1.4
47000,6 février 2021,"Ariana, Autres villes",120000,2013,Volkswagen,Golf 7,Essence,5,,,,,
